Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"ZAJAZD NAD STAWEM"" Joanna Męczykowska",Rozszerzenie profilu dotychczasowej działalności prowadzonej przez Zajazd nad stawem w województwie pomorskim,POMORSKIE,Grabówko,Zacisze,4,83-403,411056.87
SPORTFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności spółki SPORTFIT poprzez działania inwestycyjne, szkoleniowe i doradcze realizowane w województwie zachodniopomorskim”",ZACHODNIOPOMORSKIE,Szczecin,Andrzeja Struga,15,70-777,417887.3
ODDZIAŁ POLSKIEGO TOWARZYSTWA TURYSTYCZNO-KRAJOZNAWCZEGO IMIENIA ZYGMUNTA KWIATKOWSKIEGO W GOLUBIU-DOBRZYNIU,Rozszerzenie oferty usługowej Oddziału PTTK w Golubiu Dobrzyniu na Zamku Golubskim w województwie kujawsko-pomorskim celem pozyskania nowych klientów oraz zwiększenia odporności na pojawiające się sytuacje kryzysowe.,KUJAWSKO-POMORSKIE,Golub-Dobrzyń,PTTK,13,87-400,337299.89
IPANEMA Natalia Ludwiczak,Usługi wynajmu sprzętu wodnego - jachtu /łodzi z silnikami elektrycznymi z panelami fotowoltaicznymi z samowystarczalnymi systemami ładowania w województwie zachodniopomorskim,ZACHODNIOPOMORSKIE,Będargowo,,13K,72-005,539996.4
CUBE Sp. z o.o.,Rozszerzenie działalności CUBE Sp. z o.o. z województwa kujawsko-pomorskiego o nową usługę organizacji wydarzeń w formule hybrydowej z modułem streamingowym,KUJAWSKO-POMORSKIE,Bydgoszcz,Garbary,3,85-229,537885.65
JF DUET S.C. DANIEL HARBACEWICZ," LUDWIKA HARBACEWICZ, NATALIA SZCZYGIEŁ,Inwestycje w bazę usługową JF DUET S.C. DANIEL HARBACEWICZ, LUDWIKA HARBACEWICZ, NATALIA SZCZYGIEŁ w województwie zachodniopomorskim (Region 1)",ZACHODNIOPOMORSKIE,Goleniów,Maszewska,19,72-100,287810
INVEST GROUP DAMIAN WIŚNIEWSKI,Transformacja w kierunku gastronomii 4.0 i cateringu comfort food szansą na rozwój zachodniopomorskiej restauracji.,ZACHODNIOPOMORSKIE,Szczecin,Cyfrowa,6,71-441,442344.01
Alfa Szkółka Pływacka Krystyna Bołgin,"Dywersyfikacja działalności Alfa Szkółka Pływacka Krystyna Bołgin w regionie pomorskim: 1. Wynajem jachtu z panelami solarnymi oraz silnikiem elektrycznym w marinie Largo Lake Resort na jeziorze Wdzydze. 2. Wynajem stacjonarnej przyczepy kempingowej z panelami solarnymi,przesionkiem oraz tarasem i pełnym wyposażeniem na kempingu Miasteczko Turystyczne Polaris w Chałupach na półwyspie helskim. 3. Budowa nowej strony internetowej do w/w działalności wraz z systemem rezerwacji i płatności online.",POMORSKIE,Gdynia,Wzgórze Bernadowo,264a,81-583,413206
Biuro Podróży StarTours Aleksandra Dmytrasz,"Wprowadzenie nowej usługi turystycznej Śladami historii oraz nowej usługi Before travel umożliwiającej dywersyfikację działalności oraz podniesienie kompetencji pracowników w celu uzyskania wzrostu konkurencyjności, liczby klientów i odporności firmy Biuro Podróży StarTours Aleksandra Dmytrasz działającej na terenie regionu kujawsko-pomorskiego",KUJAWSKO-POMORSKIE,Toruń,Podmurna,61,87-100,154829.72
Alfa Hanna i Kamil Zmitrowicz spółka cywilna,"Dywersyfikacja działalności Alfa sc w regionie Pomorskiem. 1. Nowe napoje w lokalu gastronomicznym w Gdańsku 2. Nowe usługi (szkolenia, warsztaty, degustacje, rezerwacje online,) w lokalu gastronomicznym w Gdańsku 3. Nowe usługi najmu krótkoterminowego w Sopocie. 4. Nowe usługi polegające na najmie stacjonarnej przyczepy campingowej wraz z niezbędnymi akcesoriami na polu campingowym na doby. 5. Nowe usługi polegające na najmie jachtu żaglowego wraz z niezbędnym wyposażeniem na doby.",POMORSKIE,Sopot,Jana Sobieskiego,35b,81-781,492022.77
BROLL 2 Przedsiębiorstwo Usługowe Handlowe Katarzyna Król,Uodpornienie firmy BROLL 2 PUH na sytuacje kryzysowe poprzez inwestycję w woj. pomorskim,POMORSKIE,Malbork,Aleja Rodła,bn,82-200,540000
BRH HOSPITALITY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Podniesienie konkurencyjności Hotel Central w Gdańsku oraz zwiększenie odporności na wypadek kolejnych kryzysów w branży dzięki inwestycjom w rozwiązania cyfrowe i proekologiczne oraz wprowadzenie nowych i rozszerzonych usług (Region 1 - województwa kujawsko-pomorskie, pomorskie i zachodniopomorskie)",POMORSKIE,Gdańsk,Podwale Grodzkie,4,80-895,478930.51
METROPOLIS POLMETRO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,Rozszerzenie działalności turystycznej firmy Metropolis Polmetro Sp. z o. o. Sp. k. (województwo pomorskie) wraz ze zwiększeniem odporności firmy na przyszłe kryzysy oraz zmniejszeniem wpływu przedsiębiorstwa na klimat i środowisko zgodnie z założeniami Europejskiego Zielonego Ładu,POMORSKIE,Reda,Cypriana Kamila Norwida,47,82-240,471711.37
ABC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wprowadzenie nowej usługi wynajmu łodzi żaglowych w ramach działalności Hotelu AMBER w Gdańsku województwo pomorskie wraz z nabyciem usług IT oraz szkoleń,POMORSKIE,Gdańsk,Powstańców Warszawskich,45/0,80-165,509779
TRENER PERSONALNY PAWEŁ CYDZIK,Dywersyfikacja oraz rozszerzenie działalności gospodarczej TRENER PERSONALNY PAWEŁ CYDZIK na obszarze woj. zachodniopomorskiego,ZACHODNIOPOMORSKIE,Szczecin,Aleja Powstańców Wielkopolskich,76,71-110,477512.36
PHU Stalko Radosław Kadłubek,"Rozszerzenie działalności PHU Stalko Radosław Kadłubek poprzez wprowadzenie do sprzedaży nowych produktów, implementację energooszczędnych rozwiązań technologicznych oraz dywersyfikację działalności w branży turystycznej",ZACHODNIOPOMORSKIE,Gryfino,Henryka Sienkiewicza,30,74-101,472276.81
BIURO TURYSTYCZNE ADI MONIKA KIERZYK-CISZELSKA,"Zwiększenie odporności na sytuacje kryzysowe firmy BIURO TURYSTYCZNE ADI MONIKA KIERZYK-CISZELSKA poprzez m.in. rozszerzenie działalności w kierunku organizacji obozów sportowych Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie,",Zachodniopomorskie,Polkowice,Skalników,49,59-101,458796.98
Michał Jachymek Finity,"„Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie działalności firmy Michał Jachymek Finity polegające na wprowadzeniu usługi profesjonalnej diagnostyki sportowej z wykorzystaniem nowoczesnego sprzętu oraz usługi wirtualnych treningów i konsultacji on-line, które umożliwią trening i podnoszenie kondycji osobom w każdym wieku, bez względu na płeć czy stopień niepełnosprawności”",ZACHODNIOPOMORSKIE,Szczecin,Tadeusza Czackiego,4,70-216,207016.2
LUBROW BROTHERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"„Rozszerzenie oferty Spółki o świeże, odżywcze piwo bezalkoholowe o szczególnych walorach smakowych",POMORSKIE,Wejherowo,12 Marca,234,84-200,429513.96
HOTEL ,", FALKO "" JAROSŁAW FALKOWSKI,Rozszerzenie oferty hotelu FALKO związanej z uruchomieniem salonu odchudzającego i wypożyczalni rowerów elektrycznych",POMORSKIE,Rumia,Bolesława Chrobrego,1,84-240,236755.05
GRONO s.c. Maria Gosk," Aleksandra Węsierska, Antoni Węsierski RESTAURACJA ""ZŁOTA JESIEŃ"",Inwestycje związane z rozszerzeniem oferty o nowe produkty i usługi w ""Złotej Jesieni""”, w ramach Krajowego Planu Odbudowy i Zwiększania Odporności",POMORSKIE,Kartuzy,Polna,17,83-300,194102.79
Cybermachina Przemysław Benedykciński,Inwestycja w zwiększenie odporności firmy poprzez rozszerzenie i dywersyfikację działalności lokalu polegająca na dodaniu dodatkowych atrakcji oraz innowacyjnej formy integracji dla firm,Zachodniopomorskie,Toruń,Brzoskwiniowa,13,87-100,85061.38
ALEBROWAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ PLACES SPÓŁKA KOMANDYTOWA,Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez ALEBROWAR Sp. z o. o. Places Sp. k. z regionu 1: pomorskie,POMORSKIE,Gdynia,Starowiejska,40,81-356,385384.68
Blue Orange  Spółka z Ograniczoną Odpowiedzialnością,„Projekt zakłada rozszerzenie działalności o nową usługę cateringu z dowozem do klientów organizujących eventy na podstawie wcześniej podpisanej umowy. Rozszerzenie działalności bezpośrednio wpłynie na wejście na nowe rynki i pozyskanie nowych klientów i poprawę kondycji finansowej spółki. Projekt realizowany w Regionie nr 1 Pomorskie.”,POMORSKIE,Gdańsk,Leszczynowa,82,80-175,539053.6
FOOD HEROES AGATA WAŚNIEWSKA,Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej linii produktowej przez FOOD HEROES AGATA WAŚNIEWSKA z regionu 1: pomorskie,POMORSKIE,Gdynia,Eugeniusza Kwiatkowskiego,60,81-127,420730.2
ZBIGNIEW NOWACKI GDAŃSKIE LODY NATURALNE," GDAŃSKIE FRYKASY, GDAŃSKIE LODY NATURALNE BIS,Zwiększenie skali prowadzonej działalności, poprawa jej efektywności i zwiększenie odporności przedsiębiorstwa Gdańskie Lody Naturalne przez wprowadzenie nowych produktów na lokalnym rynku woj. pomorskiego.",POMORSKIE,Gniewkowo,dr. Jana Dreckiego,17,88-140,321239.9
OK TOURS Barbara Oleśków,"Wprowadzenie nowej usługi „Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego” w województwie kujawsko-pomorskim w ramach dywersyfikacji obecnej działalności firmy OK TOURS Barbara Oleśków oraz podniesienie kompe?tencji pracowników i udoskonalenie obecnego modelu biznesowego firmy celem zwiększenia liczby klientów, wzrostu konkurencyjności i odporności firmy na sezonowość i ewentualne przyszłe kryzysy",KUJAWSKO-POMORSKIE,Toruń,Podmurna,40,87-100,377971.61
INP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności poprzez rozszerzenie działalności w kierunku uruchomienia wynajmu mobilnych eko domków w firmie INP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ z Regionu 1 w celu zwiększenia odporności i konkurencyjności firmy.,POMORSKIE,Gdańsk,Budowlanych,42,80-298,419940
PIOTR GŁADKOWSKI BAIS,Odbudowa i rozwój potencjału firmy BAIS Piotr Gładkowski z województwa pomorskiego zwiększająca jej odporność na kryzysy,POMORSKIE,Warzenko,Żurawia,16,84-208,411129.6
FUNDACJA ROZWOJU INNOWACJI I GOSPODARKI,Dywersyfikacja działalności poprzez rozszerzenie działalności w kierunku uruchomienia wynajmu krótkotrwałego mobilnych eko domków dla klientów firmy FUNDACJA ROZWOJU INNOWACJI I GOSPODARKI z Regionu 1 w celu zwiększenia odporności i konkurencyjności firmy,POMORSKIE,Gdynia,Olimpijska,2,81-538,419940
Dom Weselny Korsarz Jolanta Liszyk,Unowocześnienie oferty poprzez wprowadzenie usługi cateringu zewnętrznego oraz działalności związanej z oragnizacją targów i wystaw w Domu Weselnym Korsarz w Białogardzie w województwie zachodniopomorskim”,ZACHODNIOPOMORSKIE,Białogard,Feliksa Stamma,9,78-200,82463.75
FIRMA GASTRONOMICZNA BOŻENA WALCZAK,"„Rozszerzenie i uatrakcyjnienie świadczonych usług gastronomicznych poprzez otwarcie nowe sali restauracyjnej w altanie ogrodowej z obsługą robota kelnerskiego i placem zabaw dla dzieci w ramach inwestycji A1.2.1. KPO z regionu nr 1 obejmującego województwa kujawsko-pomorskie, pomorskie i zachodniopomorskie",POMORSKIE,Starogard Gdański,Rynek,32,83-200,459973
"Firma Produkcyjno-Usługowa ""IMOPROJEKT"" Jadwiga Karłowska-Van Bergen",Zwiększenie odporności i dywersyfikacja oferty Dworku Prawdzic,ZACHODNIOPOMORSKIE,Niechorze,Szczecińska,15,72-350,536226.47
TSUNAMI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Poszerzenie oferty gastronomicznej w celu zwiększenia odporności i konkurencyjności na rynku, działanie w województwie pomorskim, w miejscowości Gdańsk",POMORSKIE,Gdańsk,Chmielna,26,80-748,438435.58
Handel i Usługi Dorota Rokoszewska,"Wprowadzenie nowych usług rekreacyjnych, związanych z poprawą kondycji fizycznej, w ośrodku hotelowo restauracyjnym ”HOTEL LORD” w Stargardzie w województwie zachodniopomorskim wraz z poprawą efektywności energetycznej i wdrożeniem autonomizacji informatycznej świadczenia usług, w celu zwiększenia grupy potencjalnych odbiorców i zwiększenia odporności na sytuacje kryzysowe",ZACHODNIOPOMORSKIE,Maszewo (miasto),Wojska Polskiego,53,72-130,536220
GUTEKO Dariusz Urbaś,"Wzmocnienie odporności przedsiębiorstwa GUTEKO Dariusz Urbaś na sytuacje kryzysowe poprzez rozbudowę i różnicowanie oferty będącej efektem realizacji projektu budowy basenu z podgrzewaną wodą przy użyciu pompy ciepła i paneli fotowoltaicznych, co zapewni ekologiczne i efektywne rozwiązanie energetyczne oraz wynajmu zakupionych hulajnóg elektrycznych. Przedsięwzięcie to zostanie zrealizowane w pierwszym regionie województwa zachodniopomorskiego.",Zachodniopomorskie,Serock,Sz. i H. Syrkusów,5,05-140,351326.02
ROYAL BAR PAWEŁ LENGA,Zwiększenie odporności przedsiębiorstwa ROYAL BAR PAWEŁ LENGA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE,Gdynia,Stanisława Filipkowskiego,25,81-578,348240.98
TAWERNA RAFA STASZKÓW SPÓŁKA KOMANDYTOWA,"„„BAR Z PRZEKĄSKAMI – SZYBKA, ZDROWA, EKOLOGICZNA ŻYWNOŚĆ”. STWORZENIE NOWEGO PUNKTU GASTRONOMICZNEGO PRZY UL. WOJSKA POLSKIEGO 62, 77-300 CZŁUCHÓW, REGION POMORSKI”",POMORSKIE,Chojnice,Droga do Igieł,1,89-600,517214.53
DREJK KAŹMIERCZAK SPÓŁKA KOMANDYTOWA,"Basen dla dzieci i rozbudowa kompleksu hotelowego w Jastrzębiej Górze o elementy ekologiczne, cyfryzację i dostępność dla osób niepełnosprawnych.",POMORSKIE,Gdynia,Czesława Niemena,2,81-603,479908.82
Sunday Sailing Spółka z ograniczoną odpowiedzialnością,Sunday Sailing Camp sposobem na rozszerzenie działalności Sunday Sailing Sp. z o.o. o ofertę noclegową we Władysławowie (pomorskie) wraz z cyfryzacją i elementami zielonej transformacji,POMORSKIE,Gdynia,Grenadierów,18,81-585,537384.6
ISTANBUL M.DUKOWICZ SPÓŁKA JAWNA,Rozszerzenie działalności ISTANBUL M. Dukowicz Sp. j. o ofertę noclegową wraz z cyfryzacją i elementami zielonej transformacji,POMORSKIE,Gdańsk,Franciszka Hynka,71b,80-463,537112.8
"Przedsiębiorstwo Wielobranżowe "" A R T P O L "" Artur Polak","Dywersyfikacja działalności przedsiębiorstwa Przedsiębiorstwo Wielobranżowe ""ARTPOL"" Artur Polak i uodpornienie go na przyszłe kryzysy przez wprowadzenie do oferty usługi cateringu mobilnego oraz organizacji imprez okolicznościowych w miejscu wskazanym przez klienta - Region 1”",KUJAWSKO-POMORSKIE,Gozdawa,,23,88-300,514716.16
7 OGRODÓW GRAŻYNA KUGIEL,Dywersyfikacja usług firmy 7 ogrodów z województwa zachodniopomorskiego poprzez budowę infrastruktury rekreacyjnej,ZACHODNIOPOMORSKIE,Łowicz Wałecki,,50,78-650,324087.1
TakeBio ARKADIUSZ WENTA,"Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez ""TakeBio"" ARKADIUSZ WENTA z regionu 1: pomorskie w województwie pomorskim",POMORSKIE,Lębork,Mieczysława Stryjewskiego,19,84-300,539979.3
"PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""DJ INWEST"" DARIUSZ JEDLIŃSKI","Rozszerzenie i dywersyfikacja działalności OSiR Stare Kalisko zlokalizowanego w Regionie 1, w województwie zachodniopomorskim, celem uodpornienia na zdarzenia o charakterze siły wyższej”",ZACHODNIOPOMORSKIE,Stare Kaleńsko,,1,78-550,446627.5
JAKUB GOSSA STAJNIA ISKRA,"Uruchomienie nowej usługi organizacji turnusów prozdrowotnych dla osób w wieku senioralnym, w tym dla osób z określonymi rodzajami niepełnosprawności jak i z dysfunkcjami ruchowymi w celu dywersyfikacji przychodu.",POMORSKIE,Sztumskie Pole,,19,82-400,507762.84
A.M.Audit Arkadiusz Śnieżek,"Realizacja inwestycji mającej na celu rozszerzenie zakresu usług, wdrożenie nowych technologii w zakresie obsługi klienta, redukcję kosztów oraz zwiększenie konkurencyjności i odporności firmy działającej na rynku usług w sektorze HORECA w pałacu Rajkowo, Region 1 Pomorze",ZACHODNIOPOMORSKIE,Smolęcin,,18,72-001,535563
Usługi Gastronomiczne Monika Golczyk,"Zwiększenie odporności firmy Usługi Gastronomiczne Monika Golczyk poprzez rozszerzenie działalności gastronomicznej o usługi cateringowe w ramach regionu nr 1 kujawsko-pomorskie, pomorskie i zachodniopomorskie",ZACHODNIOPOMORSKIE,Pyrzyce,1 Maja,Bez numeru,74-200,221939.72
LUCYNA PEPLIŃSKA,Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług w przedsiębiorstwie LUCYNA PEPLIŃSKA z regionu 1: pomorskie,POMORSKIE,Gdańsk,św. Ducha,40-42,80-834,279214.2
"RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN","wzmocnienie i uodpornienie na sytuacje kryzysowe Firmy RESTAURACJA ""ZIELONA PAPUGA"" ANNA JAREMA-ŻYŻUN dzięki dywersyfikacji działalności o wynajem domu nad jeziorem Mausz - Region 1",POMORSKIE,Gdańsk,Jana Uphagena,25,80-237,517126.5
Sigma Catering Blanka Olszewska,Wypożyczalnia rowerów i akcesoriów rowerowych,KUJAWSKO-POMORSKIE,Brzoza,Konwaliowa,3,86-061,539725.5
GOŚCINIEC NAD GOPŁEM PIOTR CHOJNACKI,Wprowadzenie dywersyfikacji we firmie GOŚCINIEC NAD GOPŁEM PIOTR CHOJNACKI w województwie Kujawsko-Pomorskim,KUJAWSKO-POMORSKIE,Kruszwica,Radziejowska,64,88-153,447296.4
"Przedsiębiorstwo Usług Turystyczno-Rehabilitacyjnych ""WODNIK"" H I M Rudniccy Spółka jawna",Nowe pakiety dietetyczne oraz Kawiarnia z Widokiem na Morze dla nowych grup klientów jako dywersyfikacja działalności Hotelu Wodnik w Ustroniu Morskim,ZACHODNIOPOMORSKIE,Ustronie Morskie,Tadeusza Kościuszki,5,78-111,303305.17
"ZAKŁAD PRODUKCYJNO-USŁUGOWO-HANDLOWY RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ""","Rozszerzenie gamy usług świadczonych przez obiekt RESTAURACJA ""KARCZMA POD KLUKĄ"" I ""HOTEL POD KLUKĄ"" o usługę kompleksowej organizacji i obsługi kameralnych spotkań biznesowych. Projekt realizowany na terenie województwa pomorskiego",POMORSKIE,Słupsk,Kaszubska,22,76-200,274592.14
HOTEL CESARSKI SPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Hotelu Cesarskie Ogrody w Świnoujściu poprzez wprowadzenie usług gastronomicznych w altanach ogrodowych oraz organizację zewnętrznej siłowni funkcjonującej w oparciu o autorski program ćwiczeń.,ZACHODNIOPOMORSKIE,Świnoujście,Stanisława Wyspiańskiego,34A,72-600,414000
Pałac Siemczyno Adam Andziak,Rozszerzenie profilu dotychczasowej działalności Pałacu Siemczyno Adam Andziak prowadzonej w sektorze hotelarstwa i gastronomii w Zachodniopomorskim,ZACHODNIOPOMORSKIE,Siemczyno,,81,78-551,253491.43
TECHKONGRES MICHALSKI," WIŚNIEWSKI, ICIAK SPÓŁKA JAWNA,Wdrożenie nowej usługi organizacji i obsługi kongresów w formule online oraz hybrydowej przez firmę Techkongres Michalski, Wiśniewski, Iciak Spółka Jawna z województwa kujawskopomorskiego",KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoskich Przemysłowców,13,85-862,539829
Cafe AMBROZJA Paulina Pajewska,"Rozszerzenie działalności gospodarczej Cafe AMBROZJA Paulina Pajewska o restaurację z potrawami regionalnymi w miejscowości Darłowo, w województwie zachodniopomorskim.",ZACHODNIOPOMORSKIE,Darłowo,Kąpielowa,8,76-150,253688.43
PAŁAC WIDOKOWY Michał Marchlewski,Dywersyfikacja działalności przedsiębiorstwa Pałac Widokowy Michał Marchlewski poprzez wprowadzenie usługi wypożyczania/dzierżawy łodzi typu Houseboat,KUJAWSKO-POMORSKIE,Toruń,Majdany,1,87-100,389243.8
FIRMA HANDLOWO-USŁUGOWA GRZEGORZ GURYN ALEKSANDER JARCZYK s.c.,"Dywersyfikacja, rozszerzenie i zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez wprowadzenie nowych usług i zielonej transformacji – FIRMA HANDLOWO-USŁUGOWA GRZEGORZ GURYN ALEKSANDER JARCZYK s.c.- Region Zachodniopomorski",ZACHODNIOPOMORSKIE,Szczecin,Kaszubska,3,70-404,477723.97
ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności przedsiębiorstwa ESENTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie,POMORSKIE,Sopot,Aleja Niepodległości,799 A,81-810,502899.95
PG PAWEŁ GZULA,Dywersyfikacja działalności poprzez Innowacyjną Siłownię Kontenerową - Bezpieczne Treningi w Czasach Zagrożenia Epidemiologicznego (Pomorskie),POMORSKIE,Gdynia,Korzenna,14a,81-587,316183.73
"MIĘDZYNARODOWE CENTRUM DZIECI I MŁODZIEŻY ""RADODZIERZ"" Marcin Kozłowski","„Dywersyfikacja i rozszerzenie działalności przedsiębiorstwa MIĘDZYNARODOWE CENTRUM DZIECI I MŁODZIEŻY ""RADODZIERZ"" Marcin Kozłowski poprzez wdrożenie nowych usług na terenie województwa kujawsko-pomorskiego",KUJAWSKO-POMORSKIE,Osiny,,21,86-170,273060
Henryk Gmyrek,"Stworzenie cukierni z lodziarnią, uruchomienie wypożyczalni rowerów oraz autonomiczny system meldunkowy jako dywersyfikacja działalności ośrodka wypoczynkowo - rehabilitacyjnego Jantar w Niechorzu.",ZACHODNIOPOMORSKIE,Niechorze,Aleja Bursztynowa,31,72-350,333711
Jarosław Przygoda," Wojciech Nagaj Spółka cywilna,Dywersyfikację działalności w firmie Jarosław Przygoda Wojciech Nagaj s.c. w celu zwiększenie odporności branży gastronomicznej w województwie zachodniopomorskim na negatywne skutki zewnętrzne",ZACHODNIOPOMORSKIE,Krajnik Dolny,,41a,74-506,539749.96
"JADŁODAJNIA FAMILIJNA ""KWIATEK"" MIROSŁAWA KWIATKOWSKA",Dywersyfikacja usług JADŁODAJNIA FAMILIJNA 'KWIATEK' w odpowiedzi na zmiany rynkowe i potrzeby społeczności lokalnej. Region 1 województwo zachodniopomorskie,ZACHODNIOPOMORSKIE,Kołobrzeg,Jodłowa,9,78-100,240708.6
Bartłomiej Sadowski Family&Business Catering,Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowych usług przez Bartłomiej Sadowski Family&Business Catering z regionu 1: pomorskie,POMORSKIE,Gdańsk,Jaśkowa Dolina,29,80-286,176841
PRZEMYSŁAW CIERNIOCH MANAGEMENT,Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej usługi przez PRZEMYSŁAW CIERNIOCH MANAGEMENT z regionu 1: pomorskie,POMORSKIE,Sopot,Tadeusza Kościuszki,33c,81-704,526014
"PRZEDSIĘBIORSTWO TRANSPORTOWO-HANDLOWO-USŁUGOWE ""RIWIERA CATERING"" GRZEGORZ RATAJ"," KATARZYNA WYSZYŃSKA,Rozwój i dywersyfikacja oferty RIWIERA CATERING",POMORSKIE,Słupsk,Karola Szymanowskiego,8,76-200,477871.95
VILLA ANDALUCIA JERZY SIKORSKI,„Rozbudowa oferty dla gości hotelu Villa Andalucia obejmująca zakup środków trwałych i szkolenia. Projekt realizowany w regionie województwa Kujawsko-Pomorskiego.,KUJAWSKO-POMORSKIE,Ciechocinek,Zdrojowa,18,87-720,100385.04
AH Joanna Herbasz,"Rozwój przedsiębiorstwa, dzięki adaptacji pomieszczeń oraz zakup środków trwałych",POMORSKIE,Przywidz,Gdańska,19b,83-047,540000
Damian Rybacki Farma Kalina,"„Rozszerzenie dotychczasowej działalności o nową atrakcję innowacyjnej interdyscyplinarnej ścieżki edukacyjnej w formie parku linowego zintegrowanego z nadziemnym, zadaszonym stanowiskiem obserwacji ornitologicznej wraz ze zjazdami tyrolskimi w ramach oferty turystycznej przedsiębiorstwa DAMIAN RYBACKI FARMA KALINA w Regionie 1 – województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie",ZACHODNIOPOMORSKIE,Łasko,,29E,73-240,465046.93
AVANGARD SYSTEM ELŻBIETA PAZIEWSKA,"Aktywny wypoczynek w Avangard Resort” Stworzenie Centrum rowerowego jako nowej EKO usługi na terenie Avangard Resort w Świnoujściu, przy ul. Uzdrowiskowej 5, Region Zachodniopomorski",ZACHODNIOPOMORSKIE,Świnoujście,Uzdrowiskowa,5,72-600,534974.84
ZAMKOWA USŁUGI HOTELARSKOGASTRONOMICZNE MAŁGORZATA ROGALA,Inwestycja w środki trwałe i rozwiązania ekologiczne mające na celu dywersyfikację oferty i zmniejszenie kosztów operacyjnych przedsiębiorstwa ZAMKOWA USŁUGI HOTELARSKOGASTRONOMICZNE MAŁGORZATA ROGALA działającego w regionie województwa Kujawsko-Pomorskiego.”,KUJAWSKO-POMORSKIE,Wąbrzeźno,Chełmińska,26,87-200,344066.1
Fides Tour Sylwia Kucner-Wesserling,Zakup przyczep kampingowych na potrzeby dywersyfikacji firmy FIDES TOUR działającej na terenie województwa pomorskiego,POMORSKIE,Szymbark,Leśna,7,83-315,437940
"Adrian Bogusłowicz Agencja ""ALFA""",Wzmocnienie oferty regionu pomorskiego przez OŚRODEK KOLONIJNO - WYPOCZYNKOWY EDUKACJI EKOLOGICZNEJ w Krynicy Morskiej dzięki budowie infrastruktury rekreacyjno-sportowej - basenu i boiska wielofunkcyjnego.,POMORSKIE,Elbląg,Henryka Nitschmanna,26-26-28,82-300,539000
LSV Technika Tomasz Iciak,Zwiększenie odporności na przyszłe sytuacje kryzysowe oraz potencjału rozwojowego firmy LSV Technika Tomasz Iciak działającej w regionie kujawsko-pomorskim poprzez wdrożenie nowej usługi.,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoskich Przemysłowców,13,85-862,539951.58
"Łukasz Wojnowski ""VILLA LEŚNE USTRONIE""","Rozbudowa bazy usługowej poprzez utworzenia miejsca aktywności rekreacyjnej i budowę basenu zewnętrznego, w Villi Leśne Ustronie, położonej w Lubiszewie Tczewskim (region woj. pomorskiego",POMORSKIE,Lubiszewo Tczewskie,Sosnowa,32,83-112,504950.4
"Biuro Turystyczne ""DAJA""",Ekologiczny i przyjazny ośrodek Smołdziński Las region Pomorze,POMORSKIE,Łeba,Hieronima Derdowskiego,21,84-360,538525.05
