Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
ICC BARTOSZ GURZĘDA,Podniesienie odporności przedsiębiorstwa ICC Bartosz Gurzęda na sytuacje kryzysowe w wyniku rozszerzenia i dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE,Reda,Olchowa,59,84-240,338450.44
Nautika Waldemar Sikora,"Rozszerzenie profilu działalności o wejście na rynek organizatorów turystyki, wdrożenie oferty dużej sali zabaw oraz dmuchanych zamków, a także rozszerzenie oferty produktowej o lody włoskie oraz amerykańskie. Przedsięwzięcie prowadzone będzie z uwzględnieniem zasad równościowych, polityk horyzontalnych, a także zielonego ładu oraz digitalizacji branży. Działanie nastawione jest na zwiększenie odporności biznesu na potencjalne przyszłe kryzysy. - woj. zachodniopomorskie (Region 1).",ZACHODNIOPOMORSKIE,Darłowo,Wczasowa,2,76-156,235636.08
"Usługi Gastronomiczne ""Stolik"" Andrzej Jankowski","Dywersyfikacja działalności firmy Usługi Gastronomiczne ""Stolik"" Andrzej Jankowski w województwie zachodniopomorskim",ZACHODNIOPOMORSKIE,Szczecin,Gwarna,66,70-789,104065.2
FUNDACJA GOTORUŃ,Zwiększenie odporności na sytuacje kryzysowe Fundacji GOTORUŃ poprzez dywersyfikację i wprowadzenie nowej usługi do działalności w województwie kujawsko – pomorskim.,KUJAWSKO-POMORSKIE,Toruń,Tadeusza Kościuszki,54,87-100,129632.93
SPÓŁA SABINA BRZOSKOWSKA," RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA,Zwiększenie odporności przedsiębiorstwa SPÓŁA SABINA BRZOSKOWSKA, RAFAŁ BRZOSKOWSKI SPÓŁKA CYWILNA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)",POMORSKIE,Gdańsk,Bitwy Oliwskiej,34,80-339,222082.42
"HOTEL KISTON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (dawniej PRZEDSIĘBIORSTWO PRODUKCYJNO-USŁUGOWE ""TRÓJBET"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ)","Rozszerzenie i dywersyfikacja usług świadczonych przez Hotel Kiston w oparciu o nowe i rozszerzone usługi, a także inwestycje w rozwiązania cyfrowe, proekologiczne i usługi rozwojowe podnoszące konkurencyjność firmy, zwiększające jej odporność na wypadek kolejnych kryzysów - realizowane w woj. pomorskim - Region 1",POMORSKIE,Kistowo,,26,83-320,479193.19
AKADEMIA WSZECHSTRONNEGO ROZWOJU FUN COLLEGE,"Dywersyfikacja działalności AKADEMIA WSZECHSTRONNEGO ROZWOJU FUN COLLEGE prowadzącego działalności w województwie zachodniopomorskim, poprzez wprowadzenie nowej i ulepszonej usługi, w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe, realizowana w Regionie 1: kujawskopomorskie, pomorskie, zachodniopomorskie",ZACHODNIOPOMORSKIE,Stargard,Spółdzielcza,11,73-110,525973.52
KASZUBSKIE CENTRUM KONGRESOWE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Inwestycja w celu uruchomienia nowych usług związanych ze SPA, siłownią zewnętrzną, wypożyczalnią rowerów, wirtualnym przewodnikiem turystycznym oraz organizacją konferencji tematycznych",POMORSKIE,Szymbark,Szymbarskich Zakładników,12,83-315,537634.69
HENRYK KOSTUCH U CHŁOPA,Inwestycje w nowe usługi u Chłopa,POMORSKIE,Chmielno,Wiejska,1,83-333,507393.14
RMS Company Ramus Patryk,"Zwiększenie odporności RMS COMPANY PATRYK RAMUS z województwa kujawsko-pomorskiego (Rejon 1) na sytuacje kryzysowe poprzez otwarcie punktu gastronomicznego kuchni azjatyckiej i sushi w nowej lokalizacji (Niemcz, gm. Osielsko), rozszerzenie oferty produktowej w oparciu o PKD 56.10A oraz zdywersyfikowanie zakresu działalności o catering w oparciu o PKD 56.21.Z",KUJAWSKO-POMORSKIE,Bydgoszcz,Toruńska,76,85-023,539738.54
PRZEMYSŁAW MATECKI MOON,Rozszerzenie oferty wynajmu apartamentów o salon masażu w województwie Pomorskim,POMORSKIE,Kraków,Balicka,12a,30-149,106111.23
KARO Handel i usługi Karolina Przybyszewska,Dywersyfikacja firmy o działalność związaną z centrum relaksu w województwie Pomorskim,POMORSKIE,Gdańsk,Królewskie Wzgórze,28,80-283,497655
"RESTAURACJA ""GOSIA""- Małgorzata Frankowska",Inwestycje związane z organizacją eventów dla rodzin oraz wykorzystaniem odnawialnych źródeł energii,POMORSKIE,Kielno,Oliwska,97,84-208,507825.06
ZOMAX Aleksandra Aszyk,Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy Zomax Aleksandra Aszyk działającej w regionie pomorskim,POMORSKIE,Reda,Morelowa,1,84-240,538893.43
"WITOLD GULCZ ""MY FLY""",Rozszerzenie działalności MY FLY o całkowicie nową usługę wynajmu domków nad jeziorem - woj. Pomorskie - Region 1,POMORSKIE,Gdańsk,Przywidzka,7,80-174,539904.93
ArtHouse Spółka z ograniczoną odpowiedzialnością,"Dywersyfikacja działalności ArtHouse Sp. z o. o. w celu osiągnięcia większej odporności i konkurencyjności na rynku, poprzez rozwój nowych usług zakwaterowania i gastronomii w Regionie 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie w ramach Programu Krajowego Planu Odbudowy i Zwiększania Odporności, Inwestycja 1.2.1 Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności.",ZACHODNIOPOMORSKIE,Ustronie Morskie,Bolesława Chrobrego,60,78-111,539903.37
BART-POL Bartosz Schweitzer,Rozszerzenie działalności restauracji Boston Rewal o nowe usługi cateringowe - region zachodniopomorski.,ZACHODNIOPOMORSKIE,Rewal,Saperska,4,72-344,509062.57
GRUPA WESTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności spółki GRUPA WESTA poprzez stworzenie strefy relaksu w ośrodku Moderna w województwie pomorskim,POMORSKIE,Gdynia,pl. Kaszubski,8,81-350,535163.26
GASTRO-TOUR Jarosław Ruta,Dywersyfikacja działalności i wprowadzenie nowej usługi w Ośrodku Kolonijno Wczasowym w celu zwiększenie odporności branży hotelarskiej w województwie zachodniopomorskim na negatywne skutki zewnętrzne,ZACHODNIOPOMORSKIE,Gryfice,Warszawska,27,72-300,526083.2
A&M Firma eventowo-szkoleniowa Małgorzata Robaczek,Rozwój miejsc krótkotrwałego zameldowania oraz wprowadzenie usług związanych z poprawą kondycji fizycznej,POMORSKIE,Nowa Wieś Malborska,Platynowa,26,82-200,101241
CALISTHENICS ACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Inwestycja w dywersyfikację działalności przedsiębiorstwa CALISTHENICS ACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez wprowadzenie nowej usługi w zakresie organizacji spotkań, konferencji, wystaw polegająca na uruchomieniu centrum konferencyjnego w regionie 1 (kujawsko-pomorskie)",KUJAWSKO-POMORSKIE,Bydgoszcz,Gdańska,135,85-022,412860
"KAWIARNIA ""FINEZJA"" MAŁGORZATA SKODDA-REONTZKA"," MARIKA SKODDA,Dywersyfikacja, rozszerzenie i zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez wprowadzenie nowych usług – KAWIARNIA ""FINEZJA"" MAŁ- GORZATA SKODDA-REONTZKA, MARIKA SKODDA - Region Zachodniopomorski",ZACHODNIOPOMORSKIE,Szczecin,Ku Słońcu,25D,71-073,296597.94
DUBROVNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Inwestycje dla DUBROVNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności",ZACHODNIOPOMORSKIE,Warszawa,Nowogrodzka,22,00-511,540000
Classic Sound Adrian Michalski,Wdrożenie nowej usługi organizacji i obsługi kongresów w formule online oraz hybrydowej przez firmę Classic Sound Adrian Michalski,KUJAWSKO-POMORSKIE,Niemcz,Krabowa,7,86-032,344388.37
GASTROTRAILERS ŁUKASZ PIETRZAK,"Rozszerzenie i dywersyfikacja działalności, zwiększenie konkurencyjności i innowacyjności firmy poprzez wprowadzenie nowych usług i pozyskiwanie nowych klientów. Wzmocnienie odporności na kryzysy dzięki zielonej transformacji oraz zastosowaniu nowoczesnych technologii cyfrowych, podnoszenie kompetencji pracowników oraz świadczenie usług doradczych w zakresie dywersyfikacji. Dostosowanie do aktualn",KUJAWSKO-POMORSKIE,Kruszwica,Poznańska,16,88-150,485866.8
"ALICJA GULCZ ""ORANGE TOUR""",Rozszerzenie oraz uodpornienie na sytuacje kryzysowe Firmy ORANGE TOUR poprzez wprowadzenie nowej usługi wynajmu domków woj. Pomorskie - Region 1,POMORSKIE,Szczerbięcin,,2,81-113,539322.21
BEZ PATENTU ŁUKASZ ZACHARCZYK,"Zwiększenie konkurencyjności firmy poprzez rozszerzenie zakresu usług o wynajem ekologicznego domku na wodzie tak zwanego houseboata. Obszar działania : województwo pomorskie , Pętla Żuławska i Zatoka Gdańska",POMORSKIE,Błotnik,Nadwiślańska,2,83-020,327523.5
