Nazwa,Nazwa przedsięwzięcia,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
DWÓR MANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Dwór Many Sp. z o.o. poprzez inwestycje w woj. mazowieckim,MAZOWIECKIE,Many,,1,05-555,540000
ArtHouse Production Grzegorz Staranowicz Grzegorz Nowacki spółka cywilna,"Dywersyfikacja działalności całorocznego obiektu noclegowego ArtHouse Pelnik i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowej usługi rekreacji otwartej i zamkniętej. Przedsięwzięcie będzie realizowane w Regionie 2, w województwie warmińsko-mazurskim, miejscowość Pelnik, gmina Łukta.",WARMIŃSKO-MAZURSKIE,Olsztyn,Jarocka,78C,10-699,538622.37
MARIAN SMOCZYŃSKI SMO-MAR,Wprowadzenie nowej usługi organizacji konferencji i spotkań biznesowych do oferty Rezydencji Szafran zlokalizowanej w Nieporęcie w województwie mazowieckim oraz poprawa energetyczności obiektu poprzez zastosowanie rozwiązań z zakresu energii odnawialnej,MAZOWIECKIE,Warszawa,Płochocińska,162,03-044,449477.28
American House Bed&Breakfast Agnieszka Joanna Moroz,"Dywersyfikacja działalności firmy American House Bed&Breakfast Agnieszka Joanna Moroz, w celu poprawy konkurencyjności i zwiększenia odporności na przyszłe kryzysy poprzez inwestycję w infrastrukturę umożliwiającą organizowanie konferencji i spotkań dla małych grup oraz ich transmisję on-line do większej liczby uczestników – Region 2: województwo mazowieckie.",MAZOWIECKIE,Warszawa,Baletowa,3,02-867,189301.04
"PENSJONACIK ""CYKLADA"" S.C. IZABELA JAWORSKA"," JACEK JAWORSKI,Inwestycja w środki trwałe i prace remontowo-budowlane umożliwiające poszerzenia oferty w zakresie całorocznej obsługi obiektu noclegowego firmy PENSJONACIK ""CYKLADA"" S.C. IZABELA JAWORSKA, JACEK JAWORSKI z regionu województwa Warmińsko-Mazurskiego.",WARMIŃSKO-MAZURSKIE,Mikołajki,,17,11-730,228788.28
MARKO NIERUCHOMOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności prowadzonej przez firmę MARKO NIERUCHOMOŚCI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ w regionie województwa Warmińsko-mazurskiego.,WARMIŃSKO-MAZURSKIE,Warszawa,Jana Miklaszewskiego,2,02-776,413515.62
MAXIMA S.C. KATARZYNA FIRLEJ SZCZYPIŃSKA," ANNA GILEWSKA,Rozszerzenie działalności firmy ""Maxima” s.c. w Wolanowie poprzez świadczenie usług kateringowych – jako element zwiększenia jej odporności na sytuacje kryzysowe (Region 2 – województwo mazowieckie)",MAZOWIECKIE,Wolanów,Opoczyńska,34,26-625,387523.98
CHEF SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności i konkurencyjności przedsiębiorstwa CHEF Sp. z o.o. poprzez rozszerzenie działalności i wprowadzenie nowych usług - region mazowiecki,MAZOWIECKIE,Warszawa,Jana III Sobieskiego,100A,00-764,404022
"JACEK NAPOLSKI PPH ""JAKIN""","Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy Jacek Napolski PPH ""JAKIN"" działającej w regionie warmińsko - mazurskim",WARMIŃSKO-MAZURSKIE,Lubawa,Towarowa,10,14-260,300887.39
MG Maciej Gorczycki,Dywersyfikacja i rozszerzenie działalności gastronomicznej w regionie 2 (woj. mazowieckie): rozwój nowoczesnej kuchni wegańskiej,MAZOWIECKIE,Warszawa,Kwiatowa,23,02-539,302051.69
PREMIUM CATERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności spółki Premium Catering na sytuacje kryzysowe poprzez rozszerzenie i dywersyfikację działalności (region nr 2 - mazowiecki),MAZOWIECKIE,Warszawa,Chmielna,2,00-020,208020
VIP spółka cywilna Łączyński Jarosław," Adamski Mateusz,Rozwój i stabilizacja firmy VIP sp. c. – Leśna Przystań, poprzez rozszerzenie i dywersyfikację działalności",WARMIŃSKO-MAZURSKIE,Brodnica,Gen. Józefa Hallera,10F,87-300,479193.7
"RONIEWICZ KAROL Mała Gastronomia ""JOKER""",Dywersyfikacja działalności poprzez wprowadzenie oferty nowej usługi w regionie 2. Województwo mazowieckie,MAZOWIECKIE,Mława,Żwirki,11A,06-500,371851.2
JACEK SZUMOWSKI,Inwestycje w działalności Jacek Szumowski szansą na dywersyfikację oferty w woj. Warmińsko - Mazurskim,WARMIŃSKO-MAZURSKIE,Wilkasy,Szkolna,39A,11-500,533340
M.A.P. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja oferty usługowej w Regionie nr 2 obejmującym rynek warszawski, poprzez rozszerzenie działalności przedsiębiorstwa gastronomicznego o usługi kateringowe, wprowadzenie nowej technologii sous vide, transformację cyfrową ,stworzenie przestrzeni na zewnątrz restauracji/ogródka letniego/ ,zakup urządzeń o zwiększonej wydajności i mniejszej energiochłonności, przeprowadzenie szkoleń personelu, w celu zwiększenia konkurencyjności i odporności na kryzysy typu COVID-19.",MAZOWIECKIE,Warszawa,Freta,1,00-227,314550
PANORAMIC OSCAR Spółka cywilna,Dywersyfikacja oferty Hotelu Panoramic Oscar w Mrągowie,WARMIŃSKO-MAZURSKIE,Mrągowo,Jaszczurcza Góra,16/18/20,11-700,358591.2
O.G. Witold Michalak,Rozszerzenie działalności firmy O.G. Witold Michalak poprzez wprowadzenie nowego produktu/usługi w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjność przedsiębiorstwa w woj. mazowieckim.,MAZOWIECKIE,Warszawa,Dereniowa,2b,02-776,539820
SMARTER Sławomir Dąbrowski,Dywersyfikacja działalności restauracji szybkiej obsługi i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty kompleksowych usług cateringowych wraz z usługami komplementarnymi oraz organizacją przyjęć u Klienta – Region 2,MAZOWIECKIE,Grodzisk Mazowiecki,Przejazdowa,3,05-825,399195.6
KOMPLEKS HOTELOWO GASTRONOMICZNY LABIRYNT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozwój działalności poprzez wprowadzenie usług cateringowych, stanowiących dodatkowy obszar aktywności biznesowej przedsiębiorstwa Kompleks Hotelowo Gastronomiczny LABIRYNT Sp. z o.o. w Łomży, woj. podlaskie, Region nr 2",PODLASKIE,Warszawa,Modra,90,02-661,433170
LA MELISA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności spółki La Melisa w województwie mazowieckim poprzez wdrożenie nowej usługi celem zwiększenia konkurencyjności i odporności w branży HoReCa,MAZOWIECKIE,Radom,Mieszka I,22A,26-617,336039.93
Piotr Gielniewski IMPRESSA,Dywersyfikacja działalności firmy Impressa Piotr Gielniewski poprzez organizację wydarzeń plenerowych z projekcją filmów oraz uruchomienie wypożyczalni elektrycznych desek surfingowych o napędzie bezemisyjnym.,MAZOWIECKIE,Legionowo,Tadeusza Kościuszki,16,05-120,492452.02
CIAO NAPOLI S.C.,"Dywersyfikacja działalności Ciao Napoli s.c., dzięki usłudze najmu krótkoterminowego prowadzonej w Regionie nr 2 - województwo mazowieckie.",MAZOWIECKIE,Warszawa,Wąski Dunaj,4,00-256,325585.09
Yajia LIN-IWANEJKO REDORANGE Yajia Lin-Iwanejko,Dywersyfikacja profilu działalności o Usługi Cateringu Cosmos Cafe dla województwa Mazowieckiego Region 2,MAZOWIECKIE,Warszawa,Wybrzeże Kościuszkowskie,20,00-390,453457
MANGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Rozszerzenie działalności Mango Sp. z o.o. realizowane w regionie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Olsztyn,Leśna,8,10-173,504000
ICE DAY CREAM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja działalności Ice Day Cream w województwie mazowieckim, poprzez wprowadzenie nowych usług gastronomicznych oraz inwestycje w bazę produkcyjną celem zwiększenia konkurencyjności i odporności w branży HoReCa.",MAZOWIECKIE,Rzeszów,św. Huberta,18,35-212,538779.6
GALERIA SZTUKI STARA PRAGA Filip Stanowski,Dywersyfikacja działalności jako zwiększenie konkurencyjności firmy GALERIA SZTUKI STARA PRAGA Filip Stanowski w branży HoReCa w województwie mazowieckim,MAZOWIECKIE,Warszawa,Brzeska,6,03-737,245955.55
AGROPLUS Piotr Linkowski,Dywersyfikacja działalności firmy AGROPLUS Piotr Linkowski na terenie województwa warmińsko - mazurskiego,WARMIŃSKO-MAZURSKIE,Olsztyn,Towarowa,9,10-416,536754.94
JL HOLIDAY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Nowa, komplementarna usługa czarteru jachtu żaglowego z pomocniczym napędem elektrycznym sposobem dywersyfikacji działalności JL Holiday sp. z o.o. i drogą do budowy własnych aktywów i usług celem ograniczenia podatności na kryzysy oraz szansą na rozwój mikroregionu Jeziora Włocławskiego w województwie mazowieckim",MAZOWIECKIE,Warszawa,Chełmska,9,00-724,539909
BSC AV SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Wzrost konkurencyjności i dywersyfikacja działalności spółki BSC VA poprzez zaoferowanie nowej usługi w ramach wsparcia HoReCa dla MŚP z regionu 2 (woj, mazowieckie)",MAZOWIECKIE,Warszawa,Chełmska,21,00-724,538984.9
BE ALIVE ZUZANNA ZAŁOGA,Dywersyfikacja działalności przedsiębiorstwa BE ALIVE ZUZANNA ZAŁOGA poprzez uruchomienie nowej usługi w regionie 2: mazowieckie,MAZOWIECKIE,Warszawa,Blaszana,1,03-703,198075.11
"BIURO TURYSTYKI ""BIAL-TUR"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ","Rozszerzenie działalności i wdrożenie nowych usług dla firmy Biuro Turystyki BIAL-TUR sp. z o.o. działającej w regionie województwa podlaskiego poprzez inwestycje, doradztwo oraz podnoszenie kwalifikacji pracowników.",PODLASKIE,Białystok,Adama Mickiewicza,27,15-213,365785.2
CN ADRIATIC IZABELA RADECKA,Dywersyfikacja działalności CN ADRIATIC Izabela Radecka poprzez inwestycje w woj. Podlaskim.,PODLASKIE,Augustów,Nadrzeczna,70,16-300,461160
Zajazd Gołębiowski Beata Soboń,"Ekologiczny kompleks domków letniskowych z naturalnym basenem, sauną i nowoczesną oczyszczalnią ścieków. Projekt przyjazny dla osób z niepełnosprawnościami. woj. MAZOWIECKIE, pow. lipski, gm. Lipsko, miejsc. Gołębiów, nr 31, 27-300 Towarzystwo Inwestycji Społeczno-Ekonomicznych S.A. ( TISE S.A.) – mazowieckie",MAZOWIECKIE,Gołębiów,,31,27-300,536006.92
KLUB MAZOWIECKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Dywersyfikacja i rozszerzenie działalności KLUB MAZOWIECKA Sp z o.o. poprzez inwestycje w bazę usługową, podnoszenie kwalifikacji pracowników oraz zakup usług doradczych",MAZOWIECKIE,Warszawa,Mazowiecka,13,00-052,310517.8
SALA BANKIETOWA AIDA BEATA DĄBROWSKA,Uruchomienie organizacji konferencji w celu wzmocnienia i dywersyfikacji działalności,MAZOWIECKIE,Kobyłka,Grodzka,5,05-230,146322.88
"Ireneusz Łachacki ""Bobrowy Dwór""","Zwiększenie odporności i konkurencyjności firmy poprzez zakup dwóch stacjonarnych domów na wodzie typu houseboat w celu świadczenia usługi zakwaterowania, organizacji wydarzeń, spotkań, imprez oraz szkoleń w pięknej lokalizacji nad rzeką Orzyc w miejscowości Smrock - Dwór w powiecie Makowskim w województwie mazowieckim.",MAZOWIECKIE,Smrock-Dwór,,16A,06-220,540000
MĄKA I WODA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja oferty firmy o catering oraz mobilne wypiekanie pizzy w woj. mazowieckim (region nr 2),MAZOWIECKIE,Warszawa,Chmielna,13a,00-021,443618.97
KĘSZYCKI PIOTR,KĘSZYCKI PIOTR - inwestycje w MŚP na terenie regionu nr 2,MAZOWIECKIE,Wrocław,Aleksandra Ostrowskiego,30,53-234,402424.39
UOD MARCIN STĘPIEŃ,Wdrożenie nowych usług w postaci pola biwakowego w przedsiębiorstwie UOD Marcin Stępień - Region 2 Województwo mazowieckie,MAZOWIECKIE,Siemiatycze,11 Listopada,26,17-300,490322.08
Centrum Tańca Wasilewski - Felska Karolina Felska,"Dywersyfikacja prowadzonej działalności poprzez wprowadzenie nowego programu z zakresu zajęć gimnastycznych dla dzieci i młodzieży oraz wprowadzeniu działalności związanej z organizacją targów, wystaw i kongresów dla firm w województwie warmińsko-mazurskim w Regionie 2.",WARMIŃSKO-MAZURSKIE,Olsztyn,Aleja Obrońców Tobruku,3,10-092,280743.5
"ALEKSANDRA BOROWA ""AZYMUT"" BIURO PODRÓŻY","Dywersyfikacja działalności Biura podróży Aleksandra Borowa: ""Azymut"" w regionie nr 2",MAZOWIECKIE,Ostrołęka,Jana Kilińskiego,39,07-410,71225.47
PIEROGARNIA NA STARYM RYNKU DONATA KUBIŃSKA,"Inwestycja polegająca na uruchomieniu strefy SPA oraz kawiarni w Regionie 2 obejmującym województwa mazowieckie, podlaskie, warmińsko-mazurskie",MAZOWIECKIE,Mława,Stary Rynek,4,06-500,519576.12
TOMAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności Tomar sp. z o.o. regionie nr 2,MAZOWIECKIE,Warszawa,Widok,8,00-023,537569.62
PRZEMYSŁAW MAJEWSKI JUNIOR,Uruchomienie wypożyczalni sprzętu pływającego - warmińsko - mazurskie,Warmińsko-Mazurskie,Wrzosowa,Wesoła,5,42-263,216875.9
INTER-ZAMPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i rozszerzenie działalności Pivovaria Restauracja Browar Radom poprzez wprowadzenie dodatkowego ruchomego stanowiska sprzedaży oraz usprawnienie obecnych usług restauracji,MAZOWIECKIE,Radom,Stanisława Moniuszki,26,26-600,529061.4
AZUL HOLIDAY spółka cywilna,Rozszerzenie działalności biura podróży AZUL Holiday z województwa mazowieckiego,MAZOWIECKIE,Warszawa,Koszykowa,63,00-667,230992.76
EMG EVENTS GRZEGORZ LASZUK,Dywersyfikacja działalności EMG Events Grzegorz Laszuk na potrzeby wzmocnienia odporności przedsiębiorstwa na niekorzystne zdarzenia w otoczeniu społeczno-gospodarczym poprzez wprowadzenie na rynek nowej usługi projektowania i wykonania modułowych systemowych zabudów stoisk targowych z elementami oprawy audiowizualnej,MAZOWIECKIE,Sulejówek,Wiosenna,4,05-070,419928.33
SIEĆ BADAWCZA RAFAŁ PERZ,Dywersyfikacja działalności firmy Sieć Badawcza Rafał Perz z woj. mazowieckiego poprzez wdrożenie nowej usługi najmu krótkoterminowego,MAZOWIECKIE,Warszawa,al. Aleja Jana Pawła II,27,00-867,536220
SIROCCO TOMASZ TYMIŃSKI,"Inwestycja polegająca dywersyfikacji biznesu poprzez wprowadzenie dwóch nowych usług: kateringowej oraz sprzedaży lodów własnego wyrobu w Regionie 2 obejmującym województwa mazowieckie, podlaskie, warmińsko-mazurskie",WARMIŃSKO-MAZURSKIE,Olsztyn,Prosta,3/4,10-028,430484.94
CASABLANCA CATERING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Utworzenie parku zwierząt w województwie podlaskim, gmina Wasilków",PODLASKIE,Białystok,Legionowa,10,15-099,413993.38
PROBART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Przedsięwzięcie będzie składało się z wykonania zadaszenia i przeszklenia letniego ogrodu w celu stworzenia włoskiej pizzerii, w miejscowości Białystok przy ulicy Włókienniczej 5. W obszarze przedsięwzięcia dokupione zostaną niezbędne urządzenia, by Pizzeria mogła funkcjonować. Elementem inwestycji będzie również zakup i instalacja systemu fotowoltaicznego.",PODLASKIE,Białystok,Włókiennicza,5,15-464,493479.6
Ryszard Iwaszkiewicz AUTO - MARKET,Dywersyfikacja przedsiębiorstwa Ryszard Iwaszkiewicz AUTO- MARKET w regionie nr 2,PODLASKIE,Białystok,Ukośna,22E,15-836,514088.1
STOWARZYSZENIE NOWE HORYZONTY,Rozszerzenie działalności Stowarzyszenia Nowe Horyzonty o działalność wystawienniczą poprzez zakup niezbędnego sprzętu i przeszkolenie personelu w województwie mazowieckim,MAZOWIECKIE,Warszawa,Ludwika Zamenhofa,1,00-153,195190.56
Biały Baran Maciej Baranowski,Dywersyfikacja działalności firmy Biały Baran Maciej Baranowski poprzez wprowadzenie usługi wynajmu łodzi rekreacyjno - sportowej typu „houseboat” w województwie mazowieckim.,MAZOWIECKIE,Warszawa,al. Aleja Słowiańska,23,01-695,508593.45
Leśna Przystań Ewa Lipska,Rozszerzenie działalności prowadzonej przez przedsiębiorstwo Leśna Przystań Ewa Lipska w regionie województwa warmińsko-mazurskiego,WARMIŃSKO-MAZURSKIE,Węgorzewo,Łuczańska,5,11-600,155576.11
PERFEKT Anna Rudzka,ZWIĘKSZENIE ODPORNOŚCI PRZEDSIĘBIORSTWA PERFEKT POPRZEZ DYWERSYFIKACJĘ PROFILU DZIAŁALNOŚCI I WDROŻENIE NOWEJ USŁUGI,PODLASKIE,Stanisławowo,Słonecznikowa,13E,15-604,368331.26
SOBREMESA KOSZYKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie działalności restauracji Sobremesa Koszyki Sp. z o.o. zlokalizowanej w Warszawie poprzez wprowadzenie do oferty nowej usługi cateringu zewnętrznego polegającego zarówno na obsłudze cateringowej zewnętrznych eventów, jak i dowozie dań do klienta indywidualnego pod wskazany adres.",MAZOWIECKIE,Warszawa,Francuska,24,03-906,320866.15
TAKSIDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzmocnienie odporności oraz potencjału rozwojowego Firmy TAKSIDI Sp. z o.o. poprzez dywersyfikację działalności w obszarze utworzenia wypożyczali jachtów żaglowych na terenie Województwa Mazowieckiego.,MAZOWIECKIE,Góra Kalwaria,Armii Krajowej,3,05-530,539694
STRUS RENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i zwiększenie konkurencyjności oraz odporności firmy Strus Rent Sp. Z o.o. poprzez wprowadzenie nowej usługi do dotychczasowej działalności spółki dla rozwoju branży HoReCa w województwie mazowieckim (region nr. 2),MAZOWIECKIE,Warszawa,al. Aleja Komisji Edukacji Narodowej,84,02-777,252784.29
MAJJWERR S.C. ANETA SIEMIŃSKA-DRAJER MIECZYSŁAW SIEMIŃSKI,"Dywersyfikacja, zwiększenie odporności na sytuacje kryzysowe i wprowadzenie nowej usługi w firmie MAJJWERR S.C. ANETA SIEMIŃSKA-DRAJER MIECZYSŁAW SIEMIŃSKI, warmińsko - mazurskie Region 2",WARMIŃSKO-MAZURSKIE,Dywity,Grzybowa,11,11-001,538630.96
Taste & Fun Mateusz Birek,"Zwiększenie odporności, konkurencyjności i innowacyjności przedsiębiorstwa poprzez dywersyfikację dotychczas prowadzonej działalności dzięki stworzeniu mobilnego punktu gastronomicznego (przyczepa gastronomiczna). transformację cyfrową prowadzonej działalności oraz podnoszenie umiejętności i kompetencji pracowników. Inwestycja realizowana na ternie Regionu 2: województwa mazowieckie, podlaskie, warmińsko-mazurskie.",MAZOWIECKIE,Zagościniec,Armii Krajowej,21,05-200,189482.78
GOOD FOOD CONCEPT PIOTR POPIŃSKI I WSPÓLNICY SPÓŁKA JAWNA,Zwiększenie odporności i konkurencyjności przedsiębiorstwa Good Food Concept Piotr Popiński i Wspólnicy Sp. J. poprzez rozszerzenie działalności i wprowadzenie nowych usług - region mazowiecki.,MAZOWIECKIE,Warszawa,Waliców,13,00-865,503743.12
KASYNO KRYSTYNA I MARIUSZ GORYSZEWSCY SPÓŁKA CYWILNA,Nowe usługi w postaci mobilnej sprzedaży lodów jako szansa na dywersyfikację działalności gospodarczej w regionie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Olsztyn,al. Aleja Sybiraków,2,10-027,449211.84
GO APARTMENTS OLGIERD GOŁUBNICZY I ANDRZEJ OMIECIŃSKI SPÓŁKA CYWILNA,Inwestycje przedsiębiorstwa GO APARTMENTS w unowocześnienie i rozszerzenie działalności poprzez wprowadzenie rozwiązań zwiększających odporność firmy na sytuacje kryzysowe,MAZOWIECKIE,Warszawa,Dymna,9,02-411,539982
DOMGET JERZY KARWOWSKI,Dywersyfikacja działalności przedsiębiorstwa poprzez remont zabytkowego budynku w celu uruchomienia w nim punktu gastronomicznego i galerii sztuki w mieście Tykocin w województwie podlaskim (region 2),Podlaskie,Chylice,Marka Grechuty,17,05-510,536275.14
Dworek Marzenie Teresa Marzanna Słupecka,"Dofinansowanie dla ""Dworek Marzenie"" Teresa Marzanna Słupecka w celu wprowadzenia nowych produktów, usług i podwyższenia kompetencji pracowników związane z dywersyfikacją działalności.",MAZOWIECKIE,Przyborowice Górne,,5,09-142,508561.2
NEW-SPORT KAMIL BIERYŁO,Rozszerzenie dotychczasowej działalności poprzez wprowadzenie nowej usługi do działalności usługowej firmy NEW-SPORT,PODLASKIE,Ignatki-Osiedle,Śródleśna,18,16-001,537696.27
MERKURY GRUPA INWESTYCYJNA PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozwój działalności przedsiębiorstwa Merkury Grupa Inwestycyjna Plus Sp. z o.o. poprzez wprowadzenie usług cateringowych w ramach tworzonego Centrum Aktywnego Wypoczynku Plenerowego w Białymstoku, woj. podlaskie, Region 2",PODLASKIE,Białystok,Akademicka,30,15-269,539896.5
RESTAURANT CAFE BARBARA ZIELIŃSKA,Dywersyfikacja działalności firmy Restaurant Cafe Barbara Zielińska w celu przeciwdziałania negatywnym skutkom COVID-19 w regionie Warmii i Mazur,WARMIŃSKO-MAZURSKIE,Kurzętnik,Henryka Sienkiewicza,4,13-306,530010
AM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności firmy AM Sp. z o.o.,MAZOWIECKIE,Warszawa,Krucza,25/31,00-525,346505.23
The HoReCa Business Consulting Konrad Talaga,"Dywersyfikacja działalności polegająca na wprowadzeniu nowego produktu, którym jest wypożyczalnia sprzętu sportowego.",MAZOWIECKIE,Tarnawa Dolna,,397,34-210,539293.31
USŁUGI CATERINGOWE PIOTR SŁOMKOWSKI,Mobilne Miasteczko Barbecue z Mrągowa - Zdrowy Wymiar Grillowania w Technologii Powolnego Wędzenia Bez Względu na Pogodę,WARMIŃSKO-MAZURSKIE,Mrągowo,Łąkowa,4,11-700,539992.56
TIM CASH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozszerzenie profilu dotychczasowej działalności usług w przedsiębiorstwie TIM CASH Sp. z o.o. , poprzez wdrożenie nowej usługi, świadczonej w województwie mazowieckim",MAZOWIECKIE,Warszawa,Mazowiecka,11,00-052,539310.82
BAYER MEDIA EMIL BAJER,"Rozszerzenie działalności usługowej firmy ""BAYER MEDIA"" Emil Bajer poprzez utworzenie WIRTUALNEGO CENTRUM KONFERENCYJNO-KONGRESOWEGO na obszarze województwa podlaskiego.",PODLASKIE,Suwałki,Bulwarowa,5,16-400,540000
MCC MAZURKAS CONFERENCE CENTRE & HOTEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja działalności oraz cyfrowa i zielona transformacja MCC Mazurkas Conference Centre & Hotel w województwie mazowieckim w celu udopornienia na przyszłe kryzysy,MAZOWIECKIE,Ożarów Mazowiecki,Poznańska,177,05-850,425965.68
"PRZEDSIĘBIORSTWO HANDLOWO - USŁUGOWE "" BUD - DREW "" Jolanta Fedor",Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy PH-U „BUD - DREW” Jolanta Fedor działającej w regionie warmińsko-mazurskim,WARMIŃSKO-MAZURSKIE,Notyst Mały,,18,11-700,540000
Grzegorz Mrozowski MGM,"Dywersyfikacja działalności w ramach A1.2.1 Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności. Projekt pt. "" Wypożyczalnia eBike MGM""",MAZOWIECKIE,Jerzmanowice,Jana III Sobieskiego,128,32-048,529403.68
DWÓR POLSKI STACHURSCY SPÓŁKA JAWNA,"Zwiększenie odporności przedsiębiorstwa ""DWÓR POLSKI"" STACHURSCY SPÓŁKA JAWNA na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 2: województwo mazowieckie)",MAZOWIECKIE,Potworów,Lipowa,5,26-414,526310.32
Obiadkowo Marek Skowronek,"Rozszerzenie i dywersyfikacja działalności „Obiadkowo” poprzez inwestycje, doradztwo i szkolenia i uruchomienie nowej działalności - ruchomej placówki gastronomicznej, jako przedsiębiorstwa w regionie2, w województwie podlaskim.",PODLASKIE,Suwałki,Sejneńska,1,16-400,193579.45
WIP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Rozbudowa działalności Ośrodka Krechowiak poprzez stworzenie strefy relaksu - SPA w regionie 2, w województwie podlaskim.",PODLASKIE,Augustów,1 Pułku Ułanów Krechowieckich,2,16-300,539999.97
FARMA ILUZJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Wzrost odporności parku rozrywki Farma Iluzji z województwa mazowieckiego poprzez wprowadzenie nowych usług,MAZOWIECKIE,Mościska,,9,08-455,474000
MEGA EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Zwiększenie odporności przedsiębiorstwa MEGA EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 2: województwo mazowieckie),MAZOWIECKIE,Marki,Zygmunta Krasińskiego,25B,05-270,481790.03
DIGESTA JARCZYŃSKA SPÓŁKA KOMANDYTOWA,Rozszerzenie i dywersyfikacja działalności spółki w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjność przedsiębiorstwa w woj. mazowieckim.,MAZOWIECKIE,Warszawa,pl. Plac Bankowy,1,00-139,382972.8
LUMARMO SPÓŁKA CYWILNA MARCIN KACZMARCZYK," ŁUKASZ KOZIŃSKI, MONIKA KOWALSKA-KOZIŃSKA,Dywersyfikacja działalności Spółki LUMARMO w woj. Mazowieckim (Region 2)",MAZOWIECKIE,Warszawa,Chłodna,15,00-891,537300
ZALESIE MAZURY MARIUSZ CZESZEJKO-SOCHACKI SPÓŁKA KOMANDYTOWA,Dywersyfikacja i uodpornienie na przyszłe kryzysy firmy ZALESIE MAZURY działającej w regionie warmińsko – mazurskim.,WARMIŃSKO-MAZURSKIE,Zalesie,,12,11-010,540000
WILLA PORT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Dywersyfikacja i uodpornienie firmy Willa Port sp. z o.o. działającej w regionie warmińsko-mazurskim na przyszłe kryzysy,WARMIŃSKO-MAZURSKIE,Olsztyn,Marii Zientary-Malewskiej,20B,10-302,133269.5
